"","x","y","lon","lat","z"
"1",591584,4789156.48,-79.8718113279089,43.249650190002,112.542488098145
"2",591607.661333333,4789156.48,-79.8715199083365,43.2496473152572,112.507461547852
"3",591631.322666667,4789156.48,-79.8712284888071,43.2496444397701,113.028869628906
"4",591654.984,4789156.48,-79.8709370693207,43.2496415635408,112.558372497559
"5",591678.645333333,4789156.48,-79.8706456498772,43.2496386865693,112.69149017334
"6",591702.306666667,4789156.48,-79.8703542304767,43.2496358088556,112.767776489258
"7",591725.968,4789156.48,-79.8700628111193,43.2496329303996,112.663764953613
"8",591749.629333333,4789156.48,-79.8697713918048,43.2496300512014,112.183883666992
"9",591773.290666667,4789156.48,-79.8694799725334,43.249627171261,111.028228759766
"10",591796.952,4789156.48,-79.869188553305,43.2496242905784,109.791732788086
"11",591820.613333333,4789156.48,-79.8688971341197,43.2496214091535,108.005676269531
"12",591844.274666667,4789156.48,-79.8686057149774,43.2496185269864,107.400688171387
"13",591867.936,4789156.48,-79.8683142958782,43.2496156440771,105.9716796875
"14",591891.597333333,4789156.48,-79.8680228768221,43.2496127604256,104.590103149414
"15",591915.258666667,4789156.48,-79.867731457809,43.2496098760319,103.92212677002
"16",591938.92,4789156.48,-79.8674400388391,43.2496069908959,104.756370544434
"17",591584,4789187.51266667,-79.8718061706248,43.2499295754594,112.080200195312
"18",591607.661333333,4789187.51266667,-79.871514749721,43.2499267006867,111.372871398926
"19",591631.322666667,4789187.51266667,-79.8712233288601,43.2499238251717,112.011489868164
"20",591654.984,4789187.51266667,-79.8709319080422,43.2499209489145,111.966331481934
"21",591678.645333333,4789187.51266667,-79.8706404872672,43.2499180719151,110.832496643066
"22",591702.306666667,4789187.51266667,-79.8703490665353,43.2499151941734,111.815963745117
"23",591725.968,4789187.51266667,-79.8700576458464,43.2499123156895,111.470825195312
"24",591749.629333333,4789187.51266667,-79.8697662252005,43.2499094364634,110.564949035645
"25",591773.290666667,4789187.51266667,-79.8694748045975,43.249906556495,108.515182495117
"26",591796.952,4789187.51266667,-79.8691833840377,43.2499036757844,107.265319824219
"27",591820.613333333,4789187.51266667,-79.8688919635209,43.2499007943316,105.801460266113
"28",591844.274666667,4789187.51266667,-79.8686005430472,43.2498979121366,104.189926147461
"29",591867.936,4789187.51266667,-79.8683091226165,43.2498950291993,102.911766052246
"30",591891.597333333,4789187.51266667,-79.8680177022289,43.2498921455198,106.300132751465
"31",591915.258666667,4789187.51266667,-79.8677262818844,43.249889261098,104.972915649414
"32",591938.92,4789187.51266667,-79.867434861583,43.2498863759341,104.875038146973
"33",591584,4789218.54533333,-79.8718010132669,43.2502089609027,111.523948669434
"34",591607.661333333,4789218.54533333,-79.8715095910316,43.250206086102,111.477416992188
"35",591631.322666667,4789218.54533333,-79.8712181688392,43.2502032105592,111.427688598633
"36",591654.984,4789218.54533333,-79.8709267466898,43.250200334274,110.811813354492
"37",591678.645333333,4789218.54533333,-79.8706353245833,43.2501974572467,109.892578125
"38",591702.306666667,4789218.54533333,-79.8703439025199,43.2501945794771,109.984169006348
"39",591725.968,4789218.54533333,-79.8700524804995,43.2501917009653,109.50968170166
"40",591749.629333333,4789218.54533333,-79.8697610585221,43.2501888217112,108.58039855957
"41",591773.290666667,4789218.54533333,-79.8694696365877,43.2501859417149,107.512153625488
"42",591796.952,4789218.54533333,-79.8691782146963,43.2501830609763,106.410453796387
"43",591820.613333333,4789218.54533333,-79.868886792848,43.2501801794955,105.012451171875
"44",591844.274666667,4789218.54533333,-79.8685953710428,43.2501772972725,103.328193664551
"45",591867.936,4789218.54533333,-79.8683039492807,43.2501744143073,102.502052307129
"46",591891.597333333,4789218.54533333,-79.8680125275616,43.2501715305998,105.00927734375
"47",591915.258666667,4789218.54533333,-79.8677211058856,43.25016864615,104.391143798828
"48",591938.92,4789218.54533333,-79.8674296842527,43.2501657609581,103.174537658691
"49",591584,4789249.578,-79.8717958558351,43.2504883463317,110.398910522461
"50",591607.661333333,4789249.578,-79.8715044322682,43.2504854715032,110.419525146484
"51",591631.322666667,4789249.578,-79.8712130087443,43.2504825959324,110.383514404297
"52",591654.984,4789249.578,-79.8709215852634,43.2504797196194,109.829940795898
"53",591678.645333333,4789249.578,-79.8706301618255,43.2504768425641,109.327178955078
"54",591702.306666667,4789249.578,-79.8703387384305,43.2504739647666,108.467155456543
"55",591725.968,4789249.578,-79.8700473150786,43.2504710862268,107.760032653809
"56",591749.629333333,4789249.578,-79.8697558917697,43.2504682069448,107.054222106934
"57",591773.290666667,4789249.578,-79.8694644685038,43.2504653269205,106.569183349609
"58",591796.952,4789249.578,-79.8691730452809,43.250462446154,106.021156311035
"59",591820.613333333,4789249.578,-79.8688816221011,43.2504595646453,104.755859375
"60",591844.274666667,4789249.578,-79.8685901989644,43.2504566823943,103.62126159668
"61",591867.936,4789249.578,-79.8682987758707,43.250453799401,102.393501281738
"62",591891.597333333,4789249.578,-79.8680073528201,43.2504509156655,102.508926391602
"63",591915.258666667,4789249.578,-79.8677159298126,43.2504480311878,102.193885803223
"64",591938.92,4789249.578,-79.8674245068483,43.2504451459679,101.460723876953
"65",591584,4789280.61066667,-79.8717906983294,43.2507677317466,110.214096069336
"66",591607.661333333,4789280.61066667,-79.871499273431,43.2507648568902,109.812370300293
"67",591631.322666667,4789280.61066667,-79.8712078485756,43.2507619812915,109.884254455566
"68",591654.984,4789280.61066667,-79.8709164237631,43.2507591049505,108.497924804688
"69",591678.645333333,4789280.61066667,-79.8706249989936,43.2507562278673,108.382484436035
